rank,company,symbol,ytd_return
130,DISCOVER FINANCIAL SERVICES,DFS,8.51%
131,WABTEC CORP,WAB,8.49%
132,AMETEK INC,AME,8.49%
133,CINCINNATI FINANCIAL CORP,CINF,8.49%
134,BALL CORP,BALL,8.45%
135,MICROSOFT CORP,MSFT,8.38%
136,LINDE PLC,LIN,8.33%
137,TEXTRON INC,TXT,8.32%
138,CDW CORP/DE,CDW,8.32%
139,NVR INC,NVR,8.13%
140,CENTENE CORP,CNC,8.11%
141,COLGATE PALMOLIVE CO,CL,8.08%
142,AON PLC CLASS A,AON,8.04%
143,ABBOTT LABORATORIES,ABT,7.83%
144,UNIVERSAL HEALTH SERVICES B,UHS,7.80%
145,JPMORGAN CHASE + CO,JPM,7.80%
146,BATH + BODY WORKS INC,BBWI,7.74%
147,IRON MOUNTAIN INC,IRM,7.70%
148,NORFOLK SOUTHERN CORP,NSC,7.69%
149,CITIGROUP INC,C,7.62%
150,ACCENTURE PLC CL A,ACN,7.57%
151,ELEVANCE HEALTH INC,ELV,7.42%
152,MARSH + MCLENNAN COS,MMC,7.40%
153,AMERIPRISE FINANCIAL INC,AMP,7.40%
154,INTERCONTINENTAL EXCHANGE IN,ICE,7.38%
155,NEWS CORP   CLASS A,NWSA,7.37%
156,EQUIFAX INC,EFX,7.26%
157,HOME DEPOT INC,HD,7.23%
158,GENUINE PARTS CO,GPC,7.16%
159,AUTOZONE INC,AZO,7.15%
160,COPART INC,CPRT,7.14%
161,DOVER CORP,DOV,7.13%
162,LOEWS CORP,L,7.11%
163,NEWS CORP   CLASS B,NWS,7.00%
164,RTX CORP,RTX,6.99%
165,IQVIA HOLDINGS INC,IQV,6.96%
166,PACKAGING CORP OF AMERICA,PKG,6.86%
167,ROSS STORES INC,ROST,6.83%
168,CORNING INC,GLW,6.77%
169,JACK HENRY + ASSOCIATES INC,JKHY,6.74%
170,RESMED INC,RMD,6.55%
171,VERTEX PHARMACEUTICALS INC,VRTX,6.53%
172,HENRY SCHEIN INC,HSIC,6.42%
173,RAYMOND JAMES FINANCIAL INC,RJF,6.41%
174,STERIS PLC,STE,6.30%
175,INTUIT INC,INTU,6.21%
176,BANK OF NEW YORK MELLON CORP,BK,6.21%
177,ASSURANT INC,AIZ,6.20%
178,CHURCH + DWIGHT CO INC,CHD,6.20%
179,DAYFORCE INC,DAY,6.17%
180,THERMO FISHER SCIENTIFIC INC,TMO,6.16%
181,NXP SEMICONDUCTORS NV,NXPI,6.14%
182,AVERY DENNISON CORP,AVY,6.01%
183,CLOROX COMPANY,CLX,5.91%
184,TJX COMPANIES INC,TJX,5.78%
185,AUTODESK INC,ADSK,5.70%
186,YUM  BRANDS INC,YUM,5.66%
187,CHARLES RIVER LABORATORIES,CRL,5.57%
188,TYLER TECHNOLOGIES INC,TYL,5.52%
189,TARGET CORP,TGT,5.43%
190,WESTROCK CO,WRK,5.30%
191,VERIZON COMMUNICATIONS INC,VZ,5.28%
192,COGNIZANT TECH SOLUTIONS A,CTSH,5.27%
193,AMERICAN INTERNATIONAL GROUP,AIG,5.27%
194,ORACLE CORP,ORCL,5.25%
195,GARMIN LTD,GRMN,5.20%
196,CINTAS CORP,CTAS,5.19%
197,GENERAL DYNAMICS CORP,GD,5.14%
198,AXON ENTERPRISE INC,AXON,5.13%
199,GLOBAL PAYMENTS INC,GPN,4.98%
200,MOTOROLA SOLUTIONS INC,MSI,4.94%
201,VERALTO CORP,VLTO,4.92%
202,OTIS WORLDWIDE CORP,OTIS,4.86%
203,SIMON PROPERTY GROUP INC,SPG,4.83%
204,MICRON TECHNOLOGY INC,MU,4.83%
205,BIO RAD LABORATORIES A,BIO,4.73%
206,HOLOGIC INC,HOLX,4.70%
207,SYNCHRONY FINANCIAL,SYF,4.53%
208,PENTAIR PLC,PNR,4.46%
209,F5 INC,FFIV,4.41%
210,GLOBE LIFE INC,GL,4.41%
211,EXXON MOBIL CORP,XOM,4.27%
212,ZIMMER BIOMET HOLDINGS INC,ZBH,4.26%
213,ELECTRONIC ARTS INC,EA,4.22%
214,CME GROUP INC,CME,4.20%
215,HUNT (JB) TRANSPRT SVCS INC,JBHT,4.13%
216,PIONEER NATURAL RESOURCES CO,PXD,4.04%
217,HESS CORP,HES,4.02%
218,LOWE S COS INC,LOW,3.94%
219,LYONDELLBASELL INDU CL A,LYB,3.93%
220,DELTA AIR LINES INC,DAL,3.88%
221,SEAGATE TECHNOLOGY HOLDINGS,STX,3.85%
222,PTC INC,PTC,3.84%
223,ONEOK INC,OKE,3.83%
224,EVEREST GROUP LTD,EG,3.80%
225,METLIFE INC,MET,3.69%
226,PAYCHEX INC,PAYX,3.58%
227,CHEVRON CORP,CVX,3.55%
228,LENNAR CORP A,LEN,3.42%
229,SHERWIN WILLIAMS CO/THE,SHW,3.40%
230,KROGER CO,KR,3.39%
231,PRUDENTIAL FINANCIAL INC,PRU,3.22%
232,DARDEN RESTAURANTS INC,DRI,3.19%
233,WEST PHARMACEUTICAL SERVICES,WST,3.17%
234,COCA COLA CO/THE,KO,3.02%
235,OMNICOM GROUP,OMC,2.98%
236,HOST HOTELS + RESORTS INC,HST,2.98%
237,PULTEGROUP INC,PHM,2.89%
238,UNION PACIFIC CORP,UNP,2.86%
239,PALO ALTO NETWORKS INC,PANW,2.68%
240,IDEXX LABORATORIES INC,IDXX,2.67%
241,DOLLAR TREE INC,DLTR,2.62%
